Student Examination Pregression Status (January 2020 to July 2025 batches),,,,,,
,,,,,,
No. of Students,,Exam Status,,,,
Programme,Batch,01. ADMISSION CANCELLED, PASSOUT,PASSOUT & CONVOCATION,Total passout,Grand Total
BBA(13015) (CBCS 2020),2020-JUL,,55,53,108,226
BBA(13031) (CBCS 2021),2021-JAN,1,47,38,85,191
,2021-JUL,11,92,52,144,362
,2022-JAN,,7,,7,12
,2022-JUL,3,54,,54,201
,2023-JAN,2,,,0,104
BBA(13107) (CBCS 2023),2023-JUL,,,,0,96
,2024-JAN,,,,0,58
,2024-JUL,6,,,0,108
,2025-JAN,4,,,0,55
,2025-JUL,5,,,0,145
BCA(13075) (CBCS 2021),2022-JUL,1,57,,57,237
,2023-JAN,2,,,0,70
BCA(13099) (CBCS 2023),2023-JUL,4,,,0,173
,2024 July,4,,,0,106
,2024-JAN,3,,,0,70
,2025-JAN,3,,,0,46
,2025-JUL,1,,,0,171
MBA (13014) (CBCS 2020),2020-JAN,,7,,7,14
,2020-JUL,4,225,485,710,983
MBA (13030) (CBCS 2023),2021-JAN,15,616,478,1094,1580
,2021-JUL,128,926,1128,2054,3659
,2022-JAN,,17,12,29,47
,2022-JUL,38,179,226,405,790
,2023-JAN,44,739,,739,1432
MBA [13106] (CBCS  2023),2023-JUL,32,791,,791,1898
,2024-JAN,77,,,0,1280
,2024-JUL,146,,,0,1510
,2025-JAN,43,,,0,657
,2025-JUL,42,,,0,978
MCA (13100) (CBCS  2023),2023-JUL,1,152,,152,267
,2024-JAN,5,,,0,135
,2024-JUL,10,,,0,244
,2025-JAN,3,,,0,101
,2025-JUL,3,,,0,234
Grand Total,,641,3964,2472,6436,18240
